,file_name,wave,note,octave,note_octave,freq,attack_duration,decay_duration,sustain_level,release_duration
0,sine/ads_G♯2_1.wav,sine/ads,G♯,2,G♯2,103.82617439498628,0.96,3.333333333333333,0.6956521739130435,2
1,sine/ads_C6_2.wav,sine/ads,C,6,C6,1046.5022612023945,0.0,0.0,0.13043478260869565,2
2,sine/ads_C♯2_3.wav,sine/ads,C♯,2,C♯2,69.29565774421802,0.12,0.41666666666666663,0.391304347826087,2
3,sine/ads_C5_4.wav,sine/ads,C,5,C5,523.2511306011972,0.0,0.0,0.21739130434782608,2
4,sine/ads_F♯5_5.wav,sine/ads,F♯,5,F♯5,739.9888454232688,0.6,3.0,0.7391304347826086,2
5,sine/ads_C4_6.wav,sine/ads,C,4,C4,261.6255653005986,0.0,0.0,0.2608695652173913,2
6,sine/ads_D4_7.wav,sine/ads,D,4,D4,293.6647679174076,0.36,0.5555555555555556,0.5652173913043478,2
7,sine/ads_D♯4_8.wav,sine/ads,D♯,4,D♯4,311.1269837220809,0.09,5.0,0.30434782608695654,2
8,sine/ads_G♯5_9.wav,sine/ads,G♯,5,G♯5,830.6093951598903,1.12,2.8571428571428568,0.7391304347826086,2
9,sine/ads_A2_10.wav,sine/ads,A,2,A2,110.0,1.62,2.5,0.8695652173913043,2
10,sine/ads_F6_11.wav,sine/ads,F,6,F6,1396.9129257320155,0.05,25.0,0.30434782608695654,2
11,sine/ads_G4_12.wav,sine/ads,G,4,G4,391.99543598174927,0.49,5.0,0.6521739130434783,2
12,sine/ads_B4_13.wav,sine/ads,B,4,B4,493.8833012561241,0.22,27.5,0.6086956521739131,2
13,sine/ads_G♯2_14.wav,sine/ads,G♯,2,G♯2,103.82617439498628,0.8,4.0,0.6521739130434783,2
14,sine/ads_F3_15.wav,sine/ads,F,3,F3,174.61411571650194,0.9,1.3888888888888888,0.6956521739130435,2
15,sine/ads_D♯3_16.wav,sine/ads,D♯,3,D♯3,155.56349186104046,0.15,3.0,0.391304347826087,2
16,sine/ads_C♯3_17.wav,sine/ads,C♯,3,C♯3,138.59131548843604,0.12,0.41666666666666663,0.391304347826087,2
17,sine/ads_D♯4_18.wav,sine/ads,D♯,4,D♯4,311.1269837220809,0.03,15.0,0.21739130434782608,2
18,sine/ads_G♯2_19.wav,sine/ads,G♯,2,G♯2,103.82617439498628,0.8,4.0,0.8260869565217391,2
19,sine/ads_C♯4_20.wav,sine/ads,C♯,4,C♯4,277.1826309768721,0.09,0.5555555555555556,0.4782608695652174,2
20,sine/ads_A6_21.wav,sine/ads,A,6,A6,1760.0,0.9,4.5,0.6956521739130435,2
21,sine/ads_D3_22.wav,sine/ads,D,3,D3,146.8323839587038,0.14,1.4285714285714284,0.43478260869565216,2
22,sine/ads_A2_23.wav,sine/ads,A,2,A2,110.0,0.9,4.5,0.8695652173913043,2
23,sine/ads_F♯4_24.wav,sine/ads,F♯,4,F♯4,369.9944227116344,0.6,3.0,0.7391304347826086,2
24,sine/ads_A4_25.wav,sine/ads,A,4,A4,440.0,0.72,5.625,0.782608695652174,2
25,sine/ads_G2_26.wav,sine/ads,G,2,G2,97.99885899543733,0.7,3.5,0.782608695652174,2
26,sine/ads_E6_27.wav,sine/ads,E,6,E6,1318.5102276514797,0.72,1.1111111111111112,0.6521739130434783,2
27,sine/ads_B3_28.wav,sine/ads,B,3,B3,246.94165062806206,0.44,13.75,0.6956521739130435,2
28,sine/ads_E4_29.wav,sine/ads,E,4,E4,329.6275569128699,0.36,2.2222222222222223,0.6086956521739131,2
29,sine/ads_G5_30.wav,sine/ads,G,5,G5,783.9908719634985,0.98,2.5,0.6956521739130435,2
30,sine/ads_G♯3_31.wav,sine/ads,G♯,3,G♯3,207.65234878997256,0.48,6.666666666666666,0.6521739130434783,2
31,sine/ads_F♯3_32.wav,sine/ads,F♯,3,F♯3,184.9972113558172,0.54,3.333333333333333,0.6956521739130435,2
32,sine/ads_C5_33.wav,sine/ads,C,5,C5,523.2511306011972,0.0,0.0,0.4782608695652174,2
33,sine/ads_G♯2_34.wav,sine/ads,G♯,2,G♯2,103.82617439498628,1.28,2.5,0.782608695652174,2
34,sine/ads_E2_35.wav,sine/ads,E,2,E2,82.4068892282175,0.32,2.5,0.43478260869565216,2
35,sine/ads_C6_36.wav,sine/ads,C,6,C6,1046.5022612023945,0.0,0.0,0.34782608695652173,2
36,sine/ads_D♯2_37.wav,sine/ads,D♯,2,D♯2,77.78174593052023,0.48,0.9375,0.5652173913043478,2
37,sine/ads_A♯2_38.wav,sine/ads,A♯,2,A♯2,116.54094037952248,0.2,25.0,0.5652173913043478,2
38,sine/ads_B2_39.wav,sine/ads,B,2,B2,123.47082531403103,1.32,4.583333333333333,0.8260869565217391,2
39,sine/ads_D♯4_40.wav,sine/ads,D♯,4,D♯4,311.1269837220809,0.21,2.142857142857143,0.4782608695652174,2
40,sine/ads_A♯5_41.wav,sine/ads,A♯,5,A♯5,932.3275230361799,0.2,25.0,0.5652173913043478,2
41,sine/ads_B4_42.wav,sine/ads,B,4,B4,493.8833012561241,0.66,9.166666666666666,0.782608695652174,2
42,sine/ads_A♯2_43.wav,sine/ads,A♯,2,A♯2,116.54094037952248,0.4,12.5,0.6521739130434783,2
43,sine/ads_E4_44.wav,sine/ads,E,4,E4,329.6275569128699,0.16,5.0,0.391304347826087,2
44,sine/ads_A♯3_45.wav,sine/ads,A♯,3,A♯3,233.08188075904496,0.8,6.25,0.8260869565217391,2
45,sine/ads_F♯3_46.wav,sine/ads,F♯,3,F♯3,184.9972113558172,0.3,6.0,0.5217391304347826,2
46,sine/ads_F♯4_47.wav,sine/ads,F♯,4,F♯4,369.9944227116344,0.36,5.0,0.4782608695652174,2
47,sine/ads_F♯6_48.wav,sine/ads,F♯,6,F♯6,1479.9776908465376,0.72,2.5,0.6086956521739131,2
48,sine/ads_F2_49.wav,sine/ads,F,2,F2,87.30705785825097,1.0,1.25,0.7391304347826086,2
49,sine/ads_A♯3_50.wav,sine/ads,A♯,3,A♯3,233.08188075904496,1.8,2.7777777777777777,0.9130434782608695,2
50,sine/ads_B4_51.wav,sine/ads,B,4,B4,493.8833012561241,1.32,4.583333333333333,0.8260869565217391,2
51,sine/ads_A2_52.wav,sine/ads,A,2,A2,110.0,0.81,5.0,0.8260869565217391,2
52,sine/ads_A2_53.wav,sine/ads,A,2,A2,110.0,0.27,15.0,0.5652173913043478,2
53,sine/ads_F♯3_54.wav,sine/ads,F♯,3,F♯3,184.9972113558172,0.12,15.0,0.391304347826087,2
54,sine/ads_C3_55.wav,sine/ads,C,3,C3,130.8127826502993,0.0,0.0,0.391304347826087,2
55,sine/ads_B3_56.wav,sine/ads,B,3,B3,246.94165062806206,0.22,27.5,0.6086956521739131,2
56,sine/ads_F♯6_57.wav,sine/ads,F♯,6,F♯6,1479.9776908465376,0.18,10.0,0.43478260869565216,2
57,sine/ads_F2_58.wav,sine/ads,F,2,F2,87.30705785825097,0.2,6.25,0.391304347826087,2
58,sine/ads_A4_59.wav,sine/ads,A,4,A4,440.0,0.9,4.5,0.6956521739130435,2
59,sine/ads_F♯4_60.wav,sine/ads,F♯,4,F♯4,369.9944227116344,0.54,3.333333333333333,0.6956521739130435,2
60,sine/ads_E2_61.wav,sine/ads,E,2,E2,82.4068892282175,0.72,1.1111111111111112,0.6521739130434783,2
61,sine/ads_B3_62.wav,sine/ads,B,3,B3,246.94165062806206,1.32,4.583333333333333,0.8260869565217391,2
62,sine/ads_A♯4_63.wav,sine/ads,A♯,4,A♯4,466.1637615180899,0.2,25.0,0.5652173913043478,2
63,sine/ads_G4_64.wav,sine/ads,G,4,G4,391.99543598174927,0.42,5.833333333333334,0.6086956521739131,2
64,sine/ads_B2_65.wav,sine/ads,B,2,B2,123.47082531403103,1.98,3.055555555555556,0.9565217391304348,2
65,sine/ads_D♯3_66.wav,sine/ads,D♯,3,D♯3,155.56349186104046,0.48,0.9375,0.5652173913043478,2
66,sine/ads_A♯5_67.wav,sine/ads,A♯,5,A♯5,932.3275230361799,0.6,8.333333333333334,0.6521739130434783,2
67,sine/ads_F6_68.wav,sine/ads,F,6,F6,1396.9129257320155,0.35,3.5714285714285716,0.5652173913043478,2
68,sine/ads_F♯5_69.wav,sine/ads,F♯,5,F♯5,739.9888454232688,0.6,3.0,0.7391304347826086,2
69,sine/ads_C♯2_70.wav,sine/ads,C♯,2,C♯2,69.29565774421802,0.09,0.5555555555555556,0.4782608695652174,2
70,sine/ads_G6_71.wav,sine/ads,G,6,G6,1567.981743926997,0.28,8.75,0.4782608695652174,2
